player_id;dorsal;Player;position;Squad;MP;Starts;Min;Gls;Ast;CrdY;CrdR
6124;7;Tshinabu Wa Munda;MF;Zaire;1;1;60;0;;0;0
6125;8;Mana Mamuwene;MF;Zaire;3;3;270;0;;0;0
6126;9;Kembo Uba Kembo;MF;Zaire;3;1;146;0;;0;0
6127;10;Kidumu Mantantu ;MF;Zaire;3;3;228;0;;1;0
6128;13;Ndaye Mulamba;MF;Zaire;2;2;112;0;;0;1
6129;15;Kibonge Mafu;MF;Zaire;2;1;103;0;;0;0
6130;17;Kafula Ngoie;MF;Zaire;0;0;0;0;;0;0
6131;14;Mayanga Maku;FW;Zaire;3;2;198;0;;0;0
6132;18;Mavuba Mafuila;FW;Zaire;0;0;0;0;;0;0
6133;19;Mbungu Ekofa;FW;Zaire;0;0;0;0;;0;0
6134;20;Jean Kalala N'Tumba;FW;Zaire;1;1;90;0;;0;0
6135;21;Kakoko Etepe;FW;Zaire;2;2;135;0;;0;0
